question_id,judge_model,model_1,model_2,wins
0,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
1,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
2,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
3,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
4,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
5,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
6,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,tie
7,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
8,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
9,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
10,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
11,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
12,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
13,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
14,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,mistral_zs_instruct
15,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
16,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
17,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
18,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
19,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
20,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
21,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
22,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
23,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,mistral_zs_instruct
24,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,mistral_zs_instruct
25,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
26,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
27,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,mistral_zs_instruct
28,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
29,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
30,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
31,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
32,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
33,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
34,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
35,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
36,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
37,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
38,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
39,33b-JudgeLM,llama_zs_chat,mistral_zs_instruct,llama_zs_chat
