INDEX,HS,CN,TARGET,VERSION
384,migrants steal our jobs,"In some critical contexts, where society lives under the heel of the mafia crime (e.g. Villa Literno, Rosarno or in Puglia), migrants have put their life at stake by leading trade union struggles to the benefit of all of those who live and work there.",MIGRANTS,V1
385,migrants steal our jobs,What kind of work are you referring to?,MIGRANTS,V1
386,migrants steal our jobs,"They do not come to steal our jobs, but it would be essential to allow them to do it legally.",MIGRANTS,V1
387,migrants steal our jobs,The reality is that the jobs that are done by asylum seekers are often declined by our compatriots...,MIGRANTS,V1
388,migrants steal our jobs,They cannot steal a job that is offered or granted,MIGRANTS,V1
389,migrants steal our jobs,Access to legally paid work is not as easy as it is for citizens.,MIGRANTS,V1
390,migrants steal our jobs,It is difficult for them to steal our work when at best a short-term permit is granted to them,MIGRANTS,V1
391,migrants steal our jobs,Many economic sectors are kept alive by their work.,MIGRANTS,V1
392,migrants steal our jobs,They often do underpaid and tiring jobs that my children would not do.,MIGRANTS,V1
393,migrants steal our jobs,"Without the work they allegedly ""steal"" you would not have the tomato sauce for your pasta",MIGRANTS,V1
394,migrants steal our jobs,"This is not true, at least not always. Race was an example of how migrants were crucial in reviving the economy of a region.",MIGRANTS,V1
395,migrants steal our jobs,"To be honest, there are not many Italians who would accept a 2 euros daily salary to work in the fields.",MIGRANTS,V1
396,migrants steal our jobs,Unemployment problems won't be mitigated or solved by limiting the reception of migrants.,MIGRANTS,V1
397,migrants steal our jobs,Mostly they do humble jobs that Italians are not willing to do.,MIGRANTS,V1
398,migrants steal our jobs,"On many occasions they repopulated and economically revived territories abandoned by young people, accepting heavy and humble work. Therefore, they have created jobs, not stolen them.",MIGRANTS,V1
399,migrants steal our jobs,"More often that not, migrants create jobs, opening small businesses and emplying local people.",MIGRANTS,V1
400,migrants steal our jobs,"While it is unfortunately true that our national employment situation is really worrying, don't you think that foreigners often carry out activities that we do not want to do?",MIGRANTS,V1
401,migrants steal our jobs,"I hear you, and how worried you are about the employment situation in our country, but the migrants reception sector is also offering work to many Italians working as operators, language teachers, cultural mediators, etc. I think it's an aspect often neglected but that is necessary to consider. Don't you agree?",MIGRANTS,V1
402,migrants steal our jobs,"Actually they are very disadvantaged compared to us, at least in job seeking. They do not speak the language, they do not have a certainty of housing, they don't not know local customs. For us it is much simpler to access the same jobs - if we want it of course.",MIGRANTS,V1
403,migrants steal our jobs,"If you mean that they accept lower wages than Italians, then don't you think that the real problem is the dishonesty of those who offer such wages, exploiting them?",MIGRANTS,V1
404,migrants steal our jobs,We often do not even give them the chance to work due to very restrictive labor laws,MIGRANTS,V1
405,migrants steal our jobs,"I am a bit puzzled: often they are accused of being lazy, now they are accused of working?",MIGRANTS,V1
406,migrants steal our jobs,So they are not lazy!,MIGRANTS,V1
407,migrants steal our jobs,"They do important jobs for us, such as family assistants, but often Italians do not do it anymore because these jobs are humble and tiring.",MIGRANTS,V1
408,migrants steal our jobs,"Work must be both a right and an opportunity that facilitates the integration of asylum seekers who have been granted refugee status, allowing them to contribute to the wealth of the country, performing activities often refused by the Italians.",MIGRANTS,V1
409,migrants steal our jobs,"If the stolen job is an illegal one, then it is difficult to steal.",MIGRANTS,V1
410,migrants steal our jobs,Do you believe that those who hire a migrant instead of an Italian do it because of an innate goodness or to profit from it?,MIGRANTS,V1
411,migrants steal our jobs,"Asylum seekers often have short-term placements or work-related bursaries and it is therefore difficult to verify how many jobs can be ""stolen""",MIGRANTS,V1
412,migrants steal our jobs,"Would you prefer them to weigh apathetically on government coffers? Isn't it better to give them the opportunity to integrate, becoming economically independent?",MIGRANTS,V1
413,migrants steal our jobs,"The entrepreneurs who hire them, however, are Italian and often resort to illegal work, not paying taxes. We should perhaps better control who makes money and speculates on the skin of these people, thus creating damage to all of us, regardless of nationality.",MIGRANTS,V1
414,migrants steal our jobs,"When we give refugees and asylum seekers the opportunity to work, giving them legal access to the labor market, many of them agree to do works that Italians do not intend to do anymore. Isn't this an advantage for our country?",MIGRANTS,V1
1662,migrants steal our jobs,"Despite what some people may say, they are not taking our jobs, they are here to work and integrate. Migrants not only do work but can also boost the economy.",MIGRANTS,V3
4946,migrants steal our jobs,"There is a lot of evidence that migrants are hard workers, accepting jobs we don't want to do anymore, still they often do not get a fair say in the economy.",MIGRANTS,V6_mix
4947,migrants steal our jobs,"If our workers are either not able or not willing to do the jobs that we need, then those jobs should be done by someone else (i.e. migrants).",MIGRANTS,V6_mix
363,migrants steal our jobs,"In fact, they often accept jobs that we do not want to do anymore.",MIGRANTS,V1
364,migrants steal our jobs,Many migrants are treated like modern day slaves by those that exploit their vulnerability.,MIGRANTS,V1
365,migrants steal our jobs,"If a refugee works in our country, he contributes to the wealth of the community, including the jobless.",MIGRANTS,V1
366,migrants steal our jobs,"If a migrant crosses our borders, that does not mean that he or she wants to settle down or find work here.",MIGRANTS,V1
367,migrants steal our jobs,Don't you think that people who arrive should have the opportunity to work if they have the skills,MIGRANTS,V1
368,migrants steal our jobs,But are you sure about what you are saying? From the data that I can read here [link] it is not the case.,MIGRANTS,V1
369,migrants steal our jobs,"Are you really willing to mow the lawn in public parks at night, seriously? I sincerely doubt it",MIGRANTS,V1
370,migrants steal our jobs,"Do you really know what you are talking about? This is often work without fair wages and poor conditions, the cynical exploitation of the vulnerable and desperate.",MIGRANTS,V1
371,migrants steal our jobs,If you are worried about the employment situation in our country you should have a look at the official data. They show that only half can find a work. [link],MIGRANTS,V1
372,migrants steal our jobs,"Hi, I understand your concern. According to the official documents, migrants who find work usually perform the most humble jobs. [link]",MIGRANTS,V1
373,migrants steal our jobs,"The problem of high unemployment rates has become structural in the last decade, due to the economic crisis. This means that unemployment was a problem long before the ""boom"" of the migration phenomenon that dates back only to 2016.",MIGRANTS,V1
374,migrants steal our jobs,Migrants often do jobs that an Italian would not do.,MIGRANTS,V1
375,migrants steal our jobs,In Italy unemployment rate stays at 10 percent: it is too simplistic to attribute the situation only to the presence of migrants.,MIGRANTS,V1
376,migrants steal our jobs,"Any human being, for the sole fact of being a person, has the right of having a job, regardless of being Italian or foreigner.",MIGRANTS,V1
377,migrants steal our jobs,They often do jobs that Italians are no longer interested in.,MIGRANTS,V1
378,migrants steal our jobs,"They are often exploited, they live in conditions that very few Italians would accept, this is not an enviable position.",MIGRANTS,V1
379,migrants steal our jobs,"They have less access to work, especially when it comes to asylum seekers.",MIGRANTS,V1
380,migrants steal our jobs,"They do low qualified jobs that perhaps most Italians do not want to do (e.g. agricultural work, foundry worker, etc.).",MIGRANTS,V1
381,migrants steal our jobs,Some migrants create jobs for Italians.,MIGRANTS,V1
382,migrants steal our jobs,They take on many roles (e.g. family assistant) that are extremely valuable to society,MIGRANTS,V1
383,migrants steal our jobs,What kind of work are you referring to?,MIGRANTS,V1
