question_id,judge_model,model_1,model_2,wins
0,7b-JudgeLM,llama_chat,gold_truth,llama_chat
1,7b-JudgeLM,llama_chat,gold_truth,llama_chat
2,7b-JudgeLM,llama_chat,gold_truth,llama_chat
3,7b-JudgeLM,llama_chat,gold_truth,llama_chat
4,7b-JudgeLM,llama_chat,gold_truth,llama_chat
5,7b-JudgeLM,llama_chat,gold_truth,gold_truth
6,7b-JudgeLM,llama_chat,gold_truth,llama_chat
7,7b-JudgeLM,llama_chat,gold_truth,llama_chat
8,7b-JudgeLM,llama_chat,gold_truth,llama_chat
9,7b-JudgeLM,llama_chat,gold_truth,gold_truth
10,7b-JudgeLM,llama_chat,gold_truth,llama_chat
11,7b-JudgeLM,llama_chat,gold_truth,llama_chat
12,7b-JudgeLM,llama_chat,gold_truth,llama_chat
13,7b-JudgeLM,llama_chat,gold_truth,gold_truth
14,7b-JudgeLM,llama_chat,gold_truth,llama_chat
15,7b-JudgeLM,llama_chat,gold_truth,llama_chat
16,7b-JudgeLM,llama_chat,gold_truth,llama_chat
17,7b-JudgeLM,llama_chat,gold_truth,llama_chat
18,7b-JudgeLM,llama_chat,gold_truth,gold_truth
19,7b-JudgeLM,llama_chat,gold_truth,gold_truth
20,7b-JudgeLM,llama_chat,gold_truth,llama_chat
21,7b-JudgeLM,llama_chat,gold_truth,llama_chat
22,7b-JudgeLM,llama_chat,gold_truth,gold_truth
23,7b-JudgeLM,llama_chat,gold_truth,llama_chat
24,7b-JudgeLM,llama_chat,gold_truth,gold_truth
25,7b-JudgeLM,llama_chat,gold_truth,gold_truth
26,7b-JudgeLM,llama_chat,gold_truth,llama_chat
27,7b-JudgeLM,llama_chat,gold_truth,llama_chat
28,7b-JudgeLM,llama_chat,gold_truth,gold_truth
29,7b-JudgeLM,llama_chat,gold_truth,gold_truth
30,7b-JudgeLM,llama_chat,gold_truth,llama_chat
31,7b-JudgeLM,llama_chat,gold_truth,llama_chat
32,7b-JudgeLM,llama_chat,gold_truth,llama_chat
33,7b-JudgeLM,llama_chat,gold_truth,gold_truth
34,7b-JudgeLM,llama_chat,gold_truth,llama_chat
35,7b-JudgeLM,llama_chat,gold_truth,llama_chat
36,7b-JudgeLM,llama_chat,gold_truth,llama_chat
37,7b-JudgeLM,llama_chat,gold_truth,gold_truth
38,7b-JudgeLM,llama_chat,gold_truth,llama_chat
39,7b-JudgeLM,llama_chat,gold_truth,llama_chat
40,7b-JudgeLM,llama_chat,gold_truth,llama_chat
41,7b-JudgeLM,llama_chat,gold_truth,llama_chat
42,7b-JudgeLM,llama_chat,gold_truth,llama_chat
43,7b-JudgeLM,llama_chat,gold_truth,llama_chat
44,7b-JudgeLM,llama_chat,gold_truth,llama_chat
45,7b-JudgeLM,llama_chat,gold_truth,llama_chat
46,7b-JudgeLM,llama_chat,gold_truth,llama_chat
47,7b-JudgeLM,llama_chat,gold_truth,llama_chat
48,7b-JudgeLM,llama_chat,gold_truth,llama_chat
49,7b-JudgeLM,llama_chat,gold_truth,gold_truth
50,7b-JudgeLM,llama_chat,gold_truth,llama_chat
51,7b-JudgeLM,llama_chat,gold_truth,gold_truth
52,7b-JudgeLM,llama_chat,gold_truth,llama_chat
53,7b-JudgeLM,llama_chat,gold_truth,llama_chat
54,7b-JudgeLM,llama_chat,gold_truth,llama_chat
55,7b-JudgeLM,llama_chat,gold_truth,llama_chat
56,7b-JudgeLM,llama_chat,gold_truth,llama_chat
57,7b-JudgeLM,llama_chat,gold_truth,gold_truth
58,7b-JudgeLM,llama_chat,gold_truth,llama_chat
59,7b-JudgeLM,llama_chat,gold_truth,llama_chat
60,7b-JudgeLM,llama_chat,gold_truth,gold_truth
61,7b-JudgeLM,llama_chat,gold_truth,llama_chat
62,7b-JudgeLM,llama_chat,gold_truth,llama_chat
63,7b-JudgeLM,llama_chat,gold_truth,llama_chat
64,7b-JudgeLM,llama_chat,gold_truth,llama_chat
65,7b-JudgeLM,llama_chat,gold_truth,gold_truth
66,7b-JudgeLM,llama_chat,gold_truth,llama_chat
67,7b-JudgeLM,llama_chat,gold_truth,llama_chat
68,7b-JudgeLM,llama_chat,gold_truth,llama_chat
69,7b-JudgeLM,llama_chat,gold_truth,llama_chat
70,7b-JudgeLM,llama_chat,gold_truth,llama_chat
71,7b-JudgeLM,llama_chat,gold_truth,gold_truth
72,7b-JudgeLM,llama_chat,gold_truth,llama_chat
73,7b-JudgeLM,llama_chat,gold_truth,llama_chat
74,7b-JudgeLM,llama_chat,gold_truth,llama_chat
75,7b-JudgeLM,llama_chat,gold_truth,llama_chat
76,7b-JudgeLM,llama_chat,gold_truth,llama_chat
77,7b-JudgeLM,llama_chat,gold_truth,llama_chat
78,7b-JudgeLM,llama_chat,gold_truth,llama_chat
79,7b-JudgeLM,llama_chat,gold_truth,llama_chat
